Media ID;R_EX_glc__D_e_i;R_EX_xyl__D_e_i;R_EX_succ_e_i;R_EX_ala__L_e_i;R_EX_arg__L_e_i;R_EX_asn__L_e_i;R_EX_asp__L_e_i;R_EX_cys__L_e_i;R_EX_glu__L_e_i;R_EX_gln__L_e_i;R_EX_gly_e_i;R_EX_his__L_e_i;R_EX_ile__L_e_i;R_EX_leu__L_e_i;R_EX_lys__L_e_i;R_EX_met__L_e_i;R_EX_phe__L_e_i;R_EX_pro__L_e_i;R_EX_ser__L_e_i;R_EX_thr__L_e_i;R_EX_trp__L_e_i;R_EX_tyr__L_e_i;R_EX_val__L_e_i;R_EX_ade_e_i;R_EX_gua_e_i;R_EX_csn_e_i;R_EX_ura_e_i;R_EX_thymd_e_i;GR_AVG;GR_STD;Stdev (%);Observations
167;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0,304623502;0,018752373;6,155918041;
168;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0;1;1;1;1;1;0,417351424;0,003529104;0,845595185;
169;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0,486255301;0,01568719;3,226122197;
170;0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0,444582772;0,026721787;6,010531258;
171;0;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0,584702918;0,069204996;11,83592445;
172;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0,521464286;0,022802402;4,372763865;
173;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0,640320131;0,020508951;3,20292151;
174;0;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0,451614865;0,011784763;2,609471872;
175;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,523380102;0,064933533;12,40657281;
176;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0,413155133;0,050650981;12,25955507;
177;0;0;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0,477631846;0,037602993;7,872798629;
178;0;0;1;1;0;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0,415613336;0,01421458;3,420145381;
179;0;0;1;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0,3714061;0,013160814;3,543510371;
180;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0,402203482;0,048721131;12,11355276;
181;0;0;1;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0,648282112;0,029618743;4,568804623;
182;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0,430577275;0,02506965;5,822334764;
183;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0,345912057;0,008630051;2,494868456;
184;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0,359823084;0,007398146;2,056050941;
185;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0,392416416;0,01691342;4,310069441;
186;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0,416309033;0,004876085;1,171265699;
187;0;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0,356335693;0,002707809;0,759903972;
188;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0,597833636;0,018042977;3,018059794;
189;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,783058318;0,016615343;2,12185252;
190;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0,235254186;0,02226447;9,464005817;
191;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0,273286952;0,033433703;12,23391854;
192;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;1;1;1;1;0,503013022;0,029072634;5,779698043;
193;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0,257891351;0,018177135;7,048369463;
194;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0,347769823;0,04248455;12,2162841;
195;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;1;1;1;1;1;0,196721229;0,011781187;5,988772744;
196;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0,37378318;0,011310253;3,025886026;
197;0;0;1;0;1;0;0;1;0;0;1;0;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0,758031027;0,042781326;5,643743377;
198;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0,575307634;0,004521192;0,785873888;
199;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,680640168;0,00956057;1,404643864;
200;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0,448216585;0,009198858;2,052324315;
